URL,Size,OutLinks,ContentType
https://www.bostonglobe.com/magazine/2017/09/28/how-you-enforce-etiquette-fellow-mbta-passengers/0hssRIv0t5iMshBa6CJr1O/story.html,48962,92,text/html
https://www.bostonglobe.com/magazine/2017/09/27/booked-trip-without/ELrnv0hVSacwcPQ9EPOUsJ/story.html,51232,102,text/html
https://www.bostonglobe.com/magazine/2017/05/21,72839,190,text/html
https://www.bostonglobe.com/magazine/2017/09/08/recipes-master-shellfish-game/U9hhoLeCk2aN2G2H7AxNIJ/story.html,54459,89,text/html
https://www.bostonglobe.com/magazine/2017/05/28,73701,192,text/html
https://www.bostonglobe.com/magazine/2017/09/25/still-waiting-get-call-from-red-sox/kXDSIPCA1ArvgccKiOGVUP/story.html,49180,89,text/html
https://www.bostonglobe.com/magazine/2017/09/15/blind-date-was-calm-until-found-out-everyone-restaurant-had-been-anticipating-this-date/WySXeaT2sgI3kby78NiIyL/story.html,48480,89,text/html
https://www.bostonglobe.com/rf/image_r/Boston/2011-2020/2017/09/15/BostonGlobe.com/Magazine/Images/illo0924connect.r.jpg,14832,0,image/jpeg
https://www.bostonglobe.com/magazine/2017/09/21/when-english-foreign-language/Ercqg0qaZFbXv5XmMhtFFM/amp.html,26113,15,text/html
https://www.bostonglobe.com/metro/2017/09/29/two-alarm-fire-east-boston-displaces/45txOILnEZiCH1zYdEX33L/story.html,44177,86,text/html
https://www.bostonglobe.com/metro/2017/09/30/massachusetts-puerto-rican-festival-raises-aid-for-hurricane-victims/oLGxzIlXuI24lfTpS8eq6I/story.html,48757,89,text/html
https://www.bostonglobe.com/metro/2017/10/01/train-gillette-stadium-delayed-due-mechanical-issue/vk4QEMT6IHenD6LB6cSLEI/story.html,46538,92,text/html
https://www.bostonglobe.com/metro/2017/09/29/man-struck-commuter-train-lowell/W8HPlGugFFed6kmVCvqOXM/story.html,41523,85,text/html
https://www.bostonglobe.com/metro/2017/09/29/topsfield-fair-pumpkins-fall-short-record-size/0bznYihxRBE8VLd1rMnKlO/story.html,50351,92,text/html
https://www.bostonglobe.com/metro/2017/10/01/man-shot-police-was-caring-sensitive-father-two-said-wife/NfM72KdDNx5hI3quAOsqTJ/story.html,49407,87,text/html
https://www.bostonglobe.com/metro/2017/10/01/this-day-history/RnB8kPXM3iMFF70B5OH3QI/story.html,45088,86,text/html
https://www.bostonglobe.com/news/world/2017/09/24/pope-sex-abuse-advisory-panel-takes-issue-priests-children/YzO3OmPzwQTKwKQ3At9PTJ/story.html,52595,95,text/html
https://www.bostonglobe.com/metro/2017/09/29/unlikely-praise-for-charlie-baker-from-gloria-steinem/UNOyp7nFEqzu9ZwJTjEjEO/story.html,50232,90,text/html
https://www.bostonglobe.com/metro/2017/09/29/third-suspect-arrested-for-mattapan-teen-murder/GUbZjhXAgKb49bpUlluKqJ/story.html,43807,88,text/html
https://www.bostonglobe.com/metro/2017/09/30/man-killed-dorchester-shooting/UnTmrO95fB56sBciE40siP/story.html,42977,86,text/html
https://www.bostonglobe.com/metro/2017/09/29/dorchester-teen-sentenced-prison-for-fatal-stabbing/AlL2sdFvLJ201tGuopKNlL/story.html,43782,88,text/html
https://www.bostonglobe.com/2011/12/26/bgcom-cullenxref/yOTDlGs5rzFyxn1NkvmkfJ/story.html,40127,85,text/html
https://www.bostonglobe.com/metro/2017/10/01/chelsea-double-shooting-victim-has-died/dfUjDaqFdG6lQPmGoSbhtN/story.html,43704,86,text/html
https://www.bostonglobe.com/metro/2017/08/17/father-father-priest-son-takes-his-case-directly-pope/g8ObYa0NATZy3itVSzdflM/story.html,126220,60,text/html
https://www.bostonglobe.com/metro/2017/09/30/sjc-declines-reduce-south-boston-man-sentence-for-double-murder/UfH8c8zroc22OyT2F0KuzM/story.html,47270,89,text/html
https://www.bostonglobe.com/metro/2017/09/30/elderly-man-with-alzheimer-disease-reported-missing-east-boston/0NU9vD82duPufUE4c7ZbuN/story.html,42856,87,text/html
https://www.bostonglobe.com/metro/2017/09/29/abington-man-charged-for-robbing-three-banks/yASj9PCJ0CzxqV2YLMfZjJ/story.html,41875,85,text/html
https://www.bostonglobe.com/metro/2017/10/01/after-saturday-rain-bostonians-can-expect-week-warm-and-sunny-days/7gZdBuSFQEq0fV8CS4wEHP/story.html,44932,86,text/html
https://www.bostonglobe.com/metro/2017/09/30/bird-sightings/mS8AUn6u5R3mn4OM9zKKoI/story.html,44849,87,text/html
https://www.bostonglobe.com/metro/2017/09/30/street-flooding-reported-some-communities/g91fjNCfafHQzMryCnDq0L/story.html,53548,96,text/html
https://www.bostonglobe.com/metro/2015/11/18/the-story-behind-spotlight-movie/ymTLHtckjncJlRQ8VPkEML/story.html,41024,85,text/html
https://www.bostonglobe.com/metro/2017/09/30/owl-stuck-truck-survives-trip-through-new-england-released-wild/aan4Fod3bElkwhLuB6XNmO/story.html,46576,87,text/html
https://www.bostonglobe.com/metro/2017/09/30/officer-involved-shooting-under-investigation-belmont/o7YGhpTCBRSiUcrEZUrhxI/story.html,47015,87,text/html
https://www.bostonglobe.com/metro/2017/09/30/man-dies-cell-substance-abuse-center-plymouth-prison/MD5nIvnPxdahz2Byo07unO/story.html,46761,88,text/html
https://www.bostonglobe.com/metro/2017/10/01/strike-band-somerville/JjdILx0JL689zrbFh6VJ5O/story.html,45434,90,text/html
https://www.bostonglobe.com/metro/2017/09/30/keanu-loves-water-and-singing/yw6L30C3HoaAOCO2O8tDAN/story.html,44529,88,text/html
https://www.bostonglobe.com/metro/2017/09/29/lottery/GyEg2K0m5ynaeadnwJhDxJ/story.html,44052,86,text/html
https://www.bostonglobe.com/2010/12/09/metro-columnist/0rME4xUg3xrmsyhok7mksM/story.html,39637,85,text/html
https://www.bostonglobe.com/metro/2017/03/05/documenting-hate-submit-incident-you-know-about/g8mwhYcHTR8eykd60uz2mO/story.html,42939,88,text/html
https://www.bostonglobe.com/metro/2017/09/30/high-school-students-discuss-journalism-social-issues-youth-led-conference/Upu7pzHZRXaOlxTtezRUEN/story.html,51218,88,text/html
https://www.bostonglobe.com/metro/2017/09/30/lottery/sdMaQSw8HUS71Z5ULzeJHJ/story.html,44756,86,text/html
https://www.bostonglobe.com/metro/2017/09/30/massachusetts-man-most-wanted-list-arrested-sacramento/mgnmgky8Swfs7ulOHtO7rM/story.html,42573,85,text/html
http://www.bostonglobe.com/staff/farragher,41574,95,text/html
https://www.bostonglobe.com/2011/12/09/bgcom-walkerxref/ApE2owL1RhEnbfk4CHAJWM/story.html,39892,85,text/html
https://www.bostonglobe.com/metro/2017/09/29/daily-horoscope/MD5j082lHDxQoxUmLNNlEN/story.html,48774,87,text/html
https://www.bostonglobe.com/metro/2017/08/16/father-father-children-catholic-priests-live-with-secrets-and-sorrow/mvYO5SOxAxZYJBi8XxiaqN/story.html,134987,61,text/html
https://www.bostonglobe.com/metro/2017/09/30/authorities-investigate-fatal-motorcycle-crash-weymouth/qKFVbjkk4qVynUiz6iTU0M/story.html,43409,86,text/html
https://www.bostonglobe.com/metro/2017/09/30/this-day-history/sxCytEo5CA7fIvZlIBOvRL/story.html,45918,86,text/html
https://www.bostonglobe.com/metro/2017/10/01/pumpkin/rg7KqZTilljFbA3z1TaVRM/story.html,51533,109,text/html
